#,"",node,betweenness,closeness,eigenvector,pagerank,clustering,modularity
1,0,16038438,0.027177,0.098283,1.585597e-06,0.005757,0.213195,2.0
2,1,21158690,0.017082,0.119549,1.527185e-06,0.006727,0.274260,2.0
3,2,62050341,0.005593,0.095083,1.464750e-06,0.003558,0.461563,2.0
4,3,7861312,0.000825,0.110502,1.447857e-06,0.006154,0.248141,2.0
5,4,20747847,0.013252,0.114848,1.422320e-06,0.005291,0.315638,2.0
6,5,130897520,0.004249,0.093347,1.335080e-06,0.003151,0.452495,2.0
7,6,315338495,0.000335,0.090455,1.241886e-06,0.002673,0.510304,2.0
8,7,363426409,0.000423,0.085535,1.227832e-06,0.003078,0.533402,2.0
9,8,20747741,0.003192,0.095528,1.186579e-06,0.003881,0.384570,2.0
10,9,369586333,0.000171,0.079236,1.174606e-06,0.002446,0.523086,2.0
11,10,16909832,0.001131,0.094643,1.157862e-06,0.003366,0.528796,2.0
12,11,404376053,0.000010,0.088882,1.074640e-06,0.002370,0.503636,2.0
13,12,32032000,0.000841,0.080802,1.074639e-06,0.002202,0.432979,2.0
14,13,17047105,0.000627,0.090857,1.070702e-06,0.002647,0.494920,2.0
15,14,422066630,0.000047,0.077435,1.015788e-06,0.002099,0.597737,2.0
16,15,19507713,0.000714,0.082100,9.671510e-07,0.002129,0.428108,2.0
17,16,58714972,0.002691,0.091263,9.508178e-07,0.002414,0.424464,2.0
18,17,300599613,0.000057,0.079544,9.464845e-07,0.001773,0.616255,2.0
19,18,18927441,0.001306,0.111710,9.291254e-07,0.003511,0.252900,2.0
20,19,352226153,0.000497,0.088882,9.280604e-07,0.002405,0.520637,2.0
21,20,17105214,0.008936,0.097813,9.247595e-07,0.005286,0.301969,2.0
22,21,20637608,0.001921,0.076279,9.186918e-07,0.001647,0.497653,2.0
23,22,193059216,0.000023,0.078325,8.920797e-07,0.001722,0.680887,2.0
24,23,405323682,0.000376,0.090057,8.492958e-07,0.002401,0.322635,2.0
25,24,7079062,0.000235,0.087738,7.555925e-07,0.001927,0.501712,2.0
26,25,462541005,0.000038,0.074882,7.258022e-07,0.001492,0.673540,2.0
27,26,373018050,0.000119,0.074338,6.377194e-07,0.001703,0.445175,2.0
28,27,15666380,0.002547,0.095528,5.717517e-07,0.004593,0.287162,2.0
29,28,438460947,0.000043,0.074882,5.511407e-07,0.001341,0.675824,2.0
30,29,15271920,0.000261,0.082431,5.220158e-07,0.001560,0.406504,2.0
31,30,20106852,0.000301,0.090857,5.081702e-07,0.003316,0.295203,2.0
32,31,23559552,0.000131,0.081123,4.867277e-07,0.001326,0.447566,2.0
33,32,7860742,0.052425,0.103771,4.172431e-07,0.002737,0.185577,2.0
34,33,16786977,0.000000,0.091047,4.157648e-07,0.002948,0.254167,2.0
35,34,31808762,0.031932,0.079855,4.119828e-07,0.001033,0.284136,2.0
36,35,51246108,0.000009,0.074882,4.054322e-07,0.000892,0.698381,2.0
37,36,16079941,0.001467,0.085535,3.976431e-07,0.001188,0.383673,2.0
38,37,95820486,0.000053,0.068371,3.878425e-07,0.000849,0.534985,2.0
39,38,362286999,0.000034,0.082765,3.738318e-07,0.002221,0.400000,2.0
40,39,19049747,0.003378,0.092085,3.655559e-07,0.001731,0.314363,2.0
41,40,18130749,0.002004,0.083440,3.501993e-07,0.002207,0.414062,2.0
42,41,16583672,0.003076,0.088116,3.411442e-07,0.002610,0.410000,2.0
43,42,18666844,0.000106,0.080168,3.299855e-07,0.001097,0.338926,2.0
44,43,20803125,0.000596,0.075435,3.231579e-07,0.001071,0.492366,2.0
45,44,14876672,0.024405,0.095976,3.167440e-07,0.002480,0.374532,2.0
46,45,365014160,0.000068,0.067692,3.137075e-07,0.000913,0.578378,2.0
47,46,126042901,0.000856,0.084825,3.130591e-07,0.001224,0.343511,2.0
48,47,16799897,0.000442,0.082765,3.111501e-07,0.001391,0.306818,2.0
49,48,299715714,0.000039,0.068600,3.046627e-07,0.000740,0.471223,2.0
50,49,35918787,0.000434,0.086991,2.941149e-07,0.002314,0.344595,2.0
51,50,126099878,0.000192,0.074882,2.694588e-07,0.000873,0.410387,2.0
52,51,191638793,0.000087,0.067917,2.562262e-07,0.000678,0.411765,2.0
53,52,34805698,0.007647,0.092922,2.556359e-07,0.001652,0.534314,2.0
54,53,51162310,0.000718,0.084825,2.485422e-07,0.001290,0.369128,2.0
55,54,29514951,0.034029,0.088497,2.423666e-07,0.003351,0.389857,2.0
56,55,131601987,0.021321,0.086991,2.301169e-07,0.003054,0.416581,2.0
57,56,22784458,0.023277,0.086991,2.234902e-07,0.003318,0.356650,2.0
58,57,101859065,0.018334,0.082431,2.126651e-07,0.002966,0.404321,2.0
59,58,28149277,0.000000,0.070677,2.110932e-07,0.003266,0.456522,2.0
60,59,82030021,0.025190,0.086257,2.100655e-07,0.002576,0.447876,2.0
61,60,394216985,0.000182,0.077435,2.034593e-07,0.002506,0.451754,2.0
62,61,317846921,0.001351,0.067917,1.952947e-07,0.000747,0.336283,2.0
63,62,15343773,0.004411,0.084825,1.934299e-07,0.001659,0.257576,2.0
64,63,7377812,0.001029,0.083440,1.871729e-07,0.001343,0.236031,2.0
65,64,9955652,0.000011,0.067246,1.862074e-07,0.000552,0.555556,2.0
66,65,111164068,0.003069,0.068143,1.807507e-07,0.002774,0.385572,2.0
67,66,88501703,0.000902,0.085179,1.759727e-07,0.000885,0.315556,2.0
68,67,794186,0.001215,0.078325,1.681064e-07,0.001043,0.426230,2.0
69,68,293353298,0.005552,0.075435,1.517352e-07,0.002051,0.505673,2.0
70,69,311776211,0.000060,0.068600,1.506138e-07,0.000839,0.315068,2.0
71,70,17037417,0.004171,0.081446,1.502736e-07,0.001611,0.471311,2.0
72,71,191620115,0.161424,0.066807,1.488181e-07,0.001863,0.521563,2.0
73,72,60101131,0.000000,0.082100,1.392539e-07,0.000667,0.450000,2.0
74,73,176872879,0.000071,0.079236,1.362924e-07,0.001622,0.575758,2.0
75,74,159629146,0.007725,0.075435,1.328815e-07,0.001739,0.462036,2.0
76,75,18069427,0.000378,0.077143,1.266439e-07,0.000860,0.300000,2.0
77,76,390811153,0.000000,0.072750,1.240267e-07,0.000837,0.777778,2.0
78,77,28144741,0.003350,0.067026,1.191751e-07,0.002035,0.528571,2.0
79,78,101903164,0.000782,0.073536,1.183003e-07,0.002018,0.380503,2.0
80,79,95980722,0.000890,0.066158,1.145155e-07,0.001687,0.592643,2.0
81,80,14888584,0.000527,0.069064,1.120641e-07,0.000622,0.583333,2.0
82,81,37876253,0.000007,0.065945,1.109986e-07,0.001496,0.704348,2.0
83,82,47799910,0.000006,0.067917,1.095779e-07,0.000610,0.250000,2.0
84,83,14683518,0.008036,0.074609,1.039321e-07,0.001719,0.516605,2.0
85,84,15999863,0.000283,0.065522,1.004954e-07,0.001275,0.665541,2.0
86,85,146556805,0.000005,0.065313,9.756981e-08,0.001220,0.824427,2.0
87,86,96747353,0.000031,0.061575,9.728299e-08,0.000477,0.308989,2.0
88,87,118811608,0.000067,0.071729,9.453084e-08,0.001475,0.661074,2.0
89,88,167744987,0.000001,0.066373,9.434476e-08,0.000427,0.555556,2.0
90,89,90722891,0.000017,0.065313,8.658731e-08,0.001113,0.674242,2.0
91,90,90779436,0.000555,0.065105,8.324433e-08,0.001231,0.794521,2.0
92,91,167010482,0.000013,0.058076,8.255090e-08,0.000460,0.328358,2.0
93,92,236575672,0.000002,0.065105,7.974891e-08,0.001031,0.822368,2.0
94,93,104155395,0.000032,0.064693,7.974190e-08,0.001049,0.666667,2.0
95,94,94918917,0.000000,0.064898,7.691428e-08,0.001031,0.983607,2.0
96,95,51477206,0.000001,0.064693,7.113364e-08,0.000926,0.866279,2.0
97,96,486930916,0.000003,0.064084,7.038529e-08,0.001071,0.681818,2.0
98,97,434725454,0.000007,0.065313,6.213696e-08,0.001026,0.500000,2.0
99,98,239257866,0.000006,0.064693,5.338896e-08,0.000939,0.619048,2.0
100,99,23152989,0.001538,0.072236,4.859359e-08,0.000911,0.531250,2.0
101,100,7384432,0.000007,0.062136,4.317358e-08,0.000455,0.225,2.0
102,101,263907906,0.000021,0.062901,3.618628e-08,0.000662,0.625,2.0
103,102,345707398,0.000000,0.054225,8.061618e-09,0.000462,1.000,2.0
104,103,16663695,0.000000,0.000000,2.427152e-19,0.000340,0.000,2.0
